"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,090741,CME ,00,090 ,  357210,  260359,   13069,     445,   28378,  188673,    4851,    5550,  100129,    6530,   23291,    1829,       0,  329404,  315526,   27806,   41684,    3524,    6056,    3075,     125,    1530,    -404,   -1900,   -4132,    5590,    1174,    -249,   -5522,       0,    2604,    2138,     920,    1386,  100.0,   72.9,    3.7,    0.1,    7.9,   52.8,    1.4,    1.6,   28.0,    1.8,    6.5,    0.5,    0.0,   92.2,   88.3,    7.8,   11.7,    132,     11,      5,.,     11,     39,      7,      9,     43,     14,     10,.,      0,     55,    100,    67.0,    28.1,    77.6,    42.1,    66.9,    27.9,    77.2,    41.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250318,2025-03-18,092741,CME ,00,092 ,   80057,   56629,     595,       2,    8870,   38825,     191,    3701,   20630,      49,       0,     500,       0,   69442,   60792,   10615,   19265,  -20436,   -6050,   -3525,   -8913,     307,   -3042,     140,    -169,      19,   -3019,       0,   -2730,    -115,  -17819,  -21185,   -2617,     749,  100.0,   70.7,    0.7,    0.0,   11.1,   48.5,    0.2,    4.6,   25.8,    0.1,    0.0,    0.6,    0.0,   86.7,   75.9,   13.3,   24.1,     55,     10,.,.,.,     19,.,      7,     13,.,      0,.,      0,     25,     36,    61.7,    31.1,    75.1,    46.8,    61.7,    31.0,    75.1,    46.7,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250311,2025-03-11,092741,CME ,00,092 ,  100493,   62679,    4120,    8915,    8563,   41867,      51,    3870,   20611,    3068,       0,    3230,     115,   87261,   81977,   13232,   18516,    3472,   -5256,     285,    8496,   -2368,   -4876,      38,    -618,    1027,    2197,    -400,     -66,     115,    2204,    7216,    1268,   -3744,  100.0,   62.4,    4.1,    8.9,    8.5,   41.7,    0.1,    3.9,   20.5,    3.1,    0.0,    3.2,    0.1,   86.8,   81.6,   13.2,   18.4,     61,     12,.,.,.,     20,.,      6,     17,      7,      0,.,.,     31,     44,    50.7,    27.6,    66.5,    42.7,    46.9,    24.4,    61.6,    37.0,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250304,2025-03-04,092741,CME ,00,092 ,   97021,   67935,    3835,     419,   10931,   46743,      13,    4488,   19584,     871,     400,    3296,       0,   85057,   74761,   11964,   22260,    -157,   -4590,     420,     376,    2037,    -975,     -27,    -490,   -1495,     808,       0,      20,       0,   -1886,    -873,    1729,     716,  100.0,   70.0,    4.0,    0.4,   11.3,   48.2,    0.0,    4.6,   20.2,    0.9,    0.4,    3.4,    0.0,   87.7,   77.1,   12.3,   22.9,     64,     13,.,.,.,     20,.,      7,     16,      6,.,.,      0,     30,     45,    52.6,    25.8,    70.4,    38.3,    52.6,    25.7,    70.4,    38.2,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250225,2025-02-25,092741,CME ,00,092 ,   97178,   72525,    3415,      43,    8894,   47718,      40,    4978,   21079,      63,     400,    3276,       0,   86943,   75634,   10235,   21544,    -700,    -303,     550,      17,      22,    -206,      28,   -1852,      89,     -40,       0,    -729,       0,   -2128,    -291,    1428,    -409,  100.0,   74.6,    3.5,    0.0,    9.2,   49.1,    0.0,    5.1,   21.7,    0.1,    0.4,    3.4,    0.0,   89.5,   77.8,   10.5,   22.2,     65,     13,.,.,.,     21,.,      9,     15,.,.,.,      0,     28,     43,    54.1,    25.9,    71.7,    38.2,    54.1,    25.8,    71.7,    38.1,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250218,2025-02-18,092741,CME ,00,092 ,   97878,   72828,    2865,      26,    8872,   47924,      12,    6830,   20990,     103,     400,    4005,       0,   89071,   75925,    8807,   21953,    -281,    -169,     454,    -429,     155,    1788,    -159,    1322,     524,      51,       0,     408,       0,     771,    2637,   -1052,   -2918,  100.0,   74.4,    2.9,    0.0,    9.1,   49.0,    0.0,    7.0,   21.4,    0.1,    0.4,    4.1,    0.0,   91.0,   77.6,    9.0,   22.4,     67,     13,.,.,.,     20,.,     11,     15,.,.,.,      0,     29,     42,    52.8,    25.4,    71.2,    37.6,    52.8,    25.3,    71.1,    37.5,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250211,2025-02-11,092741,CME ,00,092 ,   98159,   72997,    2411,     455,    8717,   46136,     171,    5508,   20466,      52,     400,    3597,       0,   88300,   73288,    9859,   24871,     228,    -208,    -430,     417,    -786,   -4130,    -138,    -347,     978,    -145,       0,     274,       0,   -1207,   -3174,    1435,    3402,  100.0,   74.4,    2.5,    0.5,    8.9,   47.0,    0.2,    5.6,   20.8,    0.1,    0.4,    3.7,    0.0,   90.0,   74.7,   10.0,   25.3,     68,     13,.,.,.,     21,.,      9,     17,.,.,.,      0,     28,     45,    54.0,    22.9,    72.1,    35.9,    54.0,    22.7,    72.0,    35.7,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250204,2025-02-04,092741,CME ,00,092 ,   97931,   73205,    2841,      38,    9503,   50266,     309,    5855,   19488,     197,     400,    3323,       0,   89507,   76462,    8424,   21469,     667,    -681,     147,    -298,     551,     763,      22,    1054,    -482,      86,       0,     -99,       0,     734,     139,     -67,     528,  100.0,   74.8,    2.9,    0.0,    9.7,   51.3,    0.3,    6.0,   19.9,    0.2,    0.4,    3.4,    0.0,   91.4,   78.1,    8.6,   21.9,     67,     13,.,.,.,     20,.,     11,     15,      4,.,.,      0,     32,     44,    55.6,    25.9,    74.4,    39.1,    55.6,    25.5,    74.4,    38.7,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250128,2025-01-28,092741,CME ,00,092 ,   97264,   73886,    2694,     336,    8952,   49503,     287,    4801,   19970,     111,     400,    3422,       0,   88773,   76323,    8491,   20941,     908,    3384,     498,    -120,    -963,    1997,     -85,   -1557,    1683,      13,       0,     157,       0,     672,    4143,     236,   -3235,  100.0,   76.0,    2.8,    0.3,    9.2,   50.9,    0.3,    4.9,   20.5,    0.1,    0.4,    3.5,    0.0,   91.3,   78.5,    8.7,   21.5,     68,     13,.,.,.,     20,.,      8,     18,.,.,.,      0,     27,     48,    55.5,    26.8,    75.2,    39.4,    55.5,    26.5,    75.2,    39.2,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,092741,CME ,00,092 ,   96356,   70502,    2196,     456,    9915,   47506,     372,    6358,   18287,      98,     400,    3265,       0,   88101,   72180,    8255,   24176,    2311,     209,     113,      85,    2774,    -392,     -66,   -1629,    1969,      -1,       0,    1385,       0,    1372,    3093,     939,    -782,  100.0,   73.2,    2.3,    0.5,   10.3,   49.3,    0.4,    6.6,   19.0,    0.1,    0.4,    3.4,    0.0,   91.4,   74.9,    8.6,   25.1,     62,     12,.,.,.,     17,.,     10,     15,.,.,.,      0,     26,     42,    57.3,    28.8,    75.8,    41.3,    57.3,    28.4,    75.8,    40.9,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,092741,CME ,00,092 ,   94045,   70293,    2083,     371,    7141,   47898,     438,    7987,   16318,      99,     400,    1880,       0,   86729,   69087,    7316,   24958,    2801,    4730,     -29,    -126,   -2301,    2394,       0,     524,    -953,       9,       0,     455,       0,    2836,    1750,     -35,    1051,  100.0,   74.7,    2.2,    0.4,    7.6,   50.9,    0.5,    8.5,   17.4,    0.1,    0.4,    2.0,    0.0,   92.2,   73.5,    7.8,   26.5,     62,     11,.,.,.,     17,.,     12,     15,.,.,.,      0,     27,     41,    58.6,    30.2,    75.4,    42.8,    58.6,    29.8,    75.4,    42.3,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,092741,CME ,00,092 ,   91244,   65563,    2112,     497,    9442,   45504,     438,    7463,   17271,      90,     400,    1425,       0,   83893,   67337,    7351,   23907,    2115,    6413,      88,    -135,     451,     536,       0,   -2432,    1609,   -1022,       0,     925,       0,    3275,    2001,   -1160,     114,  100.0,   71.9,    2.3,    0.5,   10.3,   49.9,    0.5,    8.2,   18.9,    0.1,    0.4,    1.6,    0.0,   91.9,   73.8,    8.1,   26.2,     62,     11,.,.,.,     17,.,     10,     16,.,.,.,      0,     26,     42,    57.9,    30.4,    74.7,    43.9,    57.9,    29.9,    74.7,    43.4,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",250318,2025-03-18,096742,CME ,00,096 ,  180841,    8710,   32560,      97,   60369,   73497,    3427,   67268,   35312,    6404,    1163,    5483,       0,  147438,  156780,   33403,   24061,  -67616,  -28909,  -19251,  -17552,    9362,   -2962,     789,    6194,    2171,  -19653,  -10179,    2684,       0,  -59948,  -53774,   -7668,  -13842,  100.0,    4.8,   18.0,    0.1,   33.4,   40.6,    1.9,   37.2,   19.5,    3.5,    0.6,    3.0,    0.0,   81.5,   86.7,   18.5,   13.3,    120,      5,      8,.,     17,     27,      9,     28,     27,     12,.,      6,      0,     67,     75,    32.6,    32.4,    51.1,    43.2,    31.0,    32.2,    49.1,    43.0,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",250311,2025-03-11,096742,CME ,00,096 ,  248457,   37619,   51811,   17649,   51007,   76459,    2638,   61074,   33141,   26057,   11342,    2799,       0,  207386,  210554,   41071,   37903,   47823,   -5273,   18510,   14850,    9629,   -9558,    1245,   -1167,    4650,   12543,    2631,     250,       0,   34458,   42490,   13365,    5333,  100.0,   15.1,   20.9,    7.1,   20.5,   30.8,    1.1,   24.6,   13.3,   10.5,    4.6,    1.1,    0.0,   83.5,   84.7,   16.5,   15.3,    115,      7,      9,      7,     13,     28,      7,     24,     26,     19,.,      4,      0,     65,     83,    27.3,    30.0,    44.0,    43.3,    25.5,    29.5,    41.5,    39.0,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",250304,2025-03-04,096742,CME ,00,096 ,  200634,   42892,   33301,    2799,   41378,   86017,    1393,   62241,   28491,   13514,    8711,    2549,       0,  172928,  168064,   27706,   32570,     166,  -13815,    6805,     510,   -1807,   -4466,    -595,    1598,     -84,    4067,    7494,   -3000,       0,   -2548,    3237,    2714,   -3071,  100.0,   21.4,   16.6,    1.4,   20.6,   42.9,    0.7,   31.0,   14.2,    6.7,    4.3,    1.3,    0.0,   86.2,   83.8,   13.8,   16.2,    116,      8,      9,      4,     11,     31,      6,     23,     28,     17,.,.,      0,     59,     84,    31.1,    31.2,    48.8,    41.3,    29.7,    31.1,    46.7,    41.1,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",250225,2025-02-25,096742,CME ,00,096 ,  200468,   56707,   26496,    2289,   43185,   90483,    1988,   60643,   28575,    9447,    1217,    5549,       0,  175476,  164827,   24992,   35641,   -2902,   -1938,    1914,    -105,    2759,   -6419,     744,   -2900,    -164,    -166,   -2159,       0,       0,   -3765,   -4196,     863,    1294,  100.0,   28.3,   13.2,    1.1,   21.5,   45.1,    1.0,   30.3,   14.3,    4.7,    0.6,    2.8,    0.0,   87.5,   82.2,   12.5,   17.8,    115,      9,      7,.,     10,     32,      6,     25,     26,     14,.,      4,      0,     54,     84,    30.1,    30.2,    49.8,    40.5,    28.9,    30.0,    47.5,    40.4,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",250218,2025-02-18,096742,CME ,00,096 ,  203370,   58645,   24582,    2394,   40426,   96902,    1244,   63543,   28739,    9613,    3376,    5549,       0,  179241,  169023,   24129,   34347,   -4768,  -14924,    -604,    2394,    8215,   -3374,    -107,    5003,    1821,   -3643,   -1359,    2186,    -160,   -4581,   -1487,    -187,   -3281,  100.0,   28.8,   12.1,    1.2,   19.9,   47.6,    0.6,   31.2,   14.1,    4.7,    1.7,    2.7,    0.0,   88.1,   83.1,   11.9,   16.9,    117,     11,      6,.,      9,     33,      6,     27,     25,     13,.,      4,      0,     57,     82,    29.1,    28.9,    48.7,    40.9,    27.9,    28.8,    46.6,    40.7,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
