"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_All","Prod_Merc_Positions_Short_All","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_All","M_Money_Positions_Short_All","M_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap__Positions_Short_Old","Swap__Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap__Positions_Short_Other","Swap__Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Other","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Other","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"NWP SUMAS BASIS - ICE FUTURES ENERGY DIV",250304,2025-03-04,0233BC,IFED,01,023 ,   80553,   29036,   68847,   42867,       0,    2602,       0,       0,       0,     803,       0,       0,   75308,   71449,    5245,    9104,   80553,   29036,   68847,   42867,       0,    2602,       0,       0,       0,     803,       0,       0,   75308,   71449,    5245,    9104,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      93,    -247,     -63,    -188,       0,       0,       0,       0,       0,       0,       0,       0,    -435,     -63,     528,     156,  100.0,   36.0,   85.5,   53.2,    0.0,    3.2,    0.0,    0.0,    0.0,    1.0,    0.0,    0.0,   93.5,   88.7,    6.5,   11.3,  100.0,   36.0,   85.5,   53.2,    0.0,    3.2,    0.0,    0.0,    0.0,    1.0,    0.0,    0.0,   93.5,   88.7,    6.5,   11.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      8,      8,      8,      0,.,      0,      0,      0,.,      0,      0,     18,     10,     20,      8,      8,      8,      0,.,      0,      0,      0,.,      0,      0,     18,     10,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    46.8,    70.7,    69.1,    86.5,    43.5,    64.3,    64.7,    70.8,    46.8,    70.7,    69.1,    86.5,    43.5,    64.3,    64.7,    70.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BC","IFED","023 ","N13","FutOnly"
"NWP SUMAS BASIS - ICE FUTURES ENERGY DIV",250225,2025-02-25,0233BC,IFED,01,023 ,   80460,   29283,   68910,   43055,       0,    2602,       0,       0,       0,     803,       0,       0,   75743,   71512,    4717,    8948,   80460,   29283,   68910,   43055,       0,    2602,       0,       0,       0,     803,       0,       0,   75743,   71512,    4717,    8948,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,   36.4,   85.6,   53.5,    0.0,    3.2,    0.0,    0.0,    0.0,    1.0,    0.0,    0.0,   94.1,   88.9,    5.9,   11.1,  100.0,   36.4,   85.6,   53.5,    0.0,    3.2,    0.0,    0.0,    0.0,    1.0,    0.0,    0.0,   94.1,   88.9,    5.9,   11.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      8,      8,      8,      0,.,      0,      0,      0,.,      0,      0,     18,     10,     20,      8,      8,      8,      0,.,      0,      0,      0,.,      0,      0,     18,     10,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    47.4,    70.9,    69.7,    86.6,    44.7,    64.5,    65.7,    71.3,    47.4,    70.9,    69.7,    86.6,    44.7,    64.5,    65.7,    71.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BC","IFED","023 ","N13","FutOnly"
"NWP SUMAS BASIS - ICE FUTURES ENERGY DIV",250204,2025-02-04,0233BC,IFED,01,023 ,   83911,   27823,   68946,   42405,       0,    2692,       0,     632,     224,     558,       0,       0,   73702,   72494,   10209,   11417,   83911,   27823,   68946,   42405,       0,    2692,       0,     632,     224,     558,       0,       0,   73702,   72494,   10209,   11417,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -765,    -477,    -151,    -526,       0,       0,       0,   -2018,       0,       0,       0,       0,   -1003,   -2169,     238,    1404,  100.0,   33.2,   82.2,   50.5,    0.0,    3.2,    0.0,    0.8,    0.3,    0.7,    0.0,    0.0,   87.8,   86.4,   12.2,   13.6,  100.0,   33.2,   82.2,   50.5,    0.0,    3.2,    0.0,    0.8,    0.3,    0.7,    0.0,    0.0,   87.8,   86.4,   12.2,   13.6,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      9,      8,      7,      0,.,      0,.,.,.,      0,      0,     18,     11,     20,      9,      8,      7,      0,.,      0,.,.,.,      0,      0,     18,     11,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    47.6,    68.2,    69.4,    83.7,    44.4,    63.5,    65.9,    72.4,    47.6,    68.2,    69.4,    83.7,    44.4,    63.5,    65.9,    72.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BC","IFED","023 ","N13","FutOnly"
"NWP SUMAS BASIS - ICE FUTURES ENERGY DIV",250128,2025-01-28,0233BC,IFED,01,023 ,   84676,   28300,   69097,   42931,       0,    2692,       0,    2650,     224,     558,       0,       0,   74705,   74663,    9971,   10013,   84676,   28300,   69097,   42931,       0,    2692,       0,    2650,     224,     558,       0,       0,   74705,   74663,    9971,   10013,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -969,   -3906,   -1589,    2384,       0,      48,       0,    -642,       0,     310,       0,       0,   -1164,   -2183,     195,    1214,  100.0,   33.4,   81.6,   50.7,    0.0,    3.2,    0.0,    3.1,    0.3,    0.7,    0.0,    0.0,   88.2,   88.2,   11.8,   11.8,  100.0,   33.4,   81.6,   50.7,    0.0,    3.2,    0.0,    3.1,    0.3,    0.7,    0.0,    0.0,   88.2,   88.2,   11.8,   11.8,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     21,      9,      8,      7,      0,.,      0,.,.,.,      0,      0,     18,     12,     21,      9,      8,      7,      0,.,      0,.,.,.,      0,      0,     18,     12,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    47.6,    67.7,    69.8,    84.1,    44.4,    63.1,    66.3,    74.3,    47.6,    67.7,    69.8,    84.1,    44.4,    63.1,    66.3,    74.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BC","IFED","023 ","N13","FutOnly"
"NWP SUMAS BASIS - ICE FUTURES ENERGY DIV",250121,2025-01-21,0233BC,IFED,01,023 ,   85645,   32206,   70686,   40547,       0,    2644,       0,    3292,     224,     248,       0,       0,   75869,   76846,    9776,    8799,   85645,   32206,   70686,   40547,       0,    2644,       0,    3292,     224,     248,       0,       0,   75869,   76846,    9776,    8799,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     229,     782,    1938,    -151,       0,       0,       0,    -856,       0,       0,       0,       0,     631,    1082,    -402,    -853,  100.0,   37.6,   82.5,   47.3,    0.0,    3.1,    0.0,    3.8,    0.3,    0.3,    0.0,    0.0,   88.6,   89.7,   11.4,   10.3,  100.0,   37.6,   82.5,   47.3,    0.0,    3.1,    0.0,    3.8,    0.3,    0.3,    0.0,    0.0,   88.6,   89.7,   11.4,   10.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     21,     10,      9,      6,      0,.,      0,.,.,.,      0,      0,     18,     13,     21,     10,      9,      6,      0,.,      0,.,.,.,      0,      0,     18,     13,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    47.6,    65.5,    69.3,    84.0,    44.6,    59.5,    66.2,    72.2,    47.6,    65.5,    69.3,    84.0,    44.6,    59.5,    66.2,    72.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BC","IFED","023 ","N13","FutOnly"
"NWP SUMAS BASIS - ICE FUTURES ENERGY DIV",250114,2025-01-14,0233BC,IFED,01,023 ,   85416,   31424,   68748,   40698,       0,    2644,       0,    4148,     224,     248,       0,       0,   75238,   75764,   10178,    9652,   85416,   31424,   68748,   40698,       0,    2644,       0,    4148,     224,     248,       0,       0,   75238,   75764,   10178,    9652,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    6174,    5101,    6530,    3215,       0,    -856,       0,     856,       0,       0,       0,       0,    7460,    6530,   -1286,    -356,  100.0,   36.8,   80.5,   47.6,    0.0,    3.1,    0.0,    4.9,    0.3,    0.3,    0.0,    0.0,   88.1,   88.7,   11.9,   11.3,  100.0,   36.8,   80.5,   47.6,    0.0,    3.1,    0.0,    4.9,    0.3,    0.3,    0.0,    0.0,   88.1,   88.7,   11.9,   11.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      9,      8,      6,      0,.,      0,.,.,.,      0,      0,     17,     12,     20,      9,      8,      6,      0,.,      0,.,.,.,      0,      0,     17,     12,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    47.2,    65.2,    69.7,    84.1,    44.1,    59.1,    66.1,    72.3,    47.2,    65.2,    69.7,    84.1,    44.1,    59.1,    66.1,    72.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BC","IFED","023 ","N13","FutOnly"
"NWP SUMAS BASIS - ICE FUTURES ENERGY DIV",250107,2025-01-07,0233BC,IFED,01,023 ,   79242,   26323,   62218,   37483,       0,    3500,       0,    3292,     224,     248,       0,       0,   67778,   69234,   11464,   10008,   79242,   26323,   62218,   37483,       0,    3500,       0,    3292,     224,     248,       0,       0,   67778,   69234,   11464,   10008,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,   33.2,   78.5,   47.3,    0.0,    4.4,    0.0,    4.2,    0.3,    0.3,    0.0,    0.0,   85.5,   87.4,   14.5,   12.6,  100.0,   33.2,   78.5,   47.3,    0.0,    4.4,    0.0,    4.2,    0.3,    0.3,    0.0,    0.0,   85.5,   87.4,   14.5,   12.6,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      7,      8,      6,      0,.,      0,.,.,.,      0,      0,     15,     12,     20,      7,      8,      6,      0,.,      0,.,.,.,      0,      0,     15,     12,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    48.0,    65.4,    72.1,    81.3,    44.0,    60.9,    67.1,    74.2,    48.0,    65.4,    72.1,    81.3,    44.0,    60.9,    67.1,    74.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BC","IFED","023 ","N13","FutOnly"
"NWP Rockies Index - ICE FUTURES ENERGY DIV",250311,2025-03-11,0233BD,IFED,01,023 ,   12519,    8785,    9628,     248,       0,       0,    1836,     465,     210,       0,     589,       0,   11079,   10892,    1440,    1627,   12519,    8785,    9628,     248,       0,       0,    1836,     465,     210,       0,     589,       0,   11079,   10892,    1440,    1627,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -4808,   -2522,   -2093,    -868,    -280,       0,    -378,       0,     210,       0,   -1904,       0,   -3558,   -4067,   -1250,    -741,  100.0,   70.2,   76.9,    2.0,    0.0,    0.0,   14.7,    3.7,    1.7,    0.0,    4.7,    0.0,   88.5,   87.0,   11.5,   13.0,  100.0,   70.2,   76.9,    2.0,    0.0,    0.0,   14.7,    3.7,    1.7,    0.0,    4.7,    0.0,   88.5,   87.0,   11.5,   13.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      8,     11,.,      0,      0,.,.,.,      0,.,      0,     10,     15,     20,      8,     11,.,      0,      0,.,.,.,      0,.,      0,     10,     15,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    69.6,    57.8,    85.9,    74.7,    65.4,    57.8,    81.0,    74.0,    69.6,    57.8,    85.9,    74.7,    65.4,    57.8,    81.0,    74.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BD","IFED","023 ","N13","FutOnly"
"NWP Rockies Index - ICE FUTURES ENERGY DIV",250304,2025-03-04,0233BD,IFED,01,023 ,   17327,   11307,   11721,    1116,     280,       0,    2214,     465,       0,       0,    2493,       0,   14637,   14959,    2690,    2368,   17327,   11307,   11721,    1116,     280,       0,    2214,     465,       0,       0,    2493,       0,   14637,   14959,    2690,    2368,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -364,       0,       0,       0,       0,       0,    -364,       0,     364,       0,  100.0,   65.3,   67.6,    6.4,    1.6,    0.0,   12.8,    2.7,    0.0,    0.0,   14.4,    0.0,   84.5,   86.3,   15.5,   13.7,  100.0,   65.3,   67.6,    6.4,    1.6,    0.0,   12.8,    2.7,    0.0,    0.0,   14.4,    0.0,   84.5,   86.3,   15.5,   13.7,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     21,      7,      9,.,.,      0,.,.,      0,      0,.,      0,      9,     14,     21,      7,      9,.,.,      0,.,.,      0,      0,.,      0,      9,     14,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    60.5,    55.2,    83.2,    74.3,    58.1,    55.2,    78.6,    73.5,    60.5,    55.2,    83.2,    74.3,    58.1,    55.2,    78.6,    73.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BD","IFED","023 ","N13","FutOnly"
"NWP Rockies Index - ICE FUTURES ENERGY DIV",250225,2025-02-25,0233BD,IFED,01,023 ,   17327,   11307,   11721,    1116,     280,       0,    2578,     465,       0,       0,    2493,       0,   15001,   14959,    2326,    2368,   17327,   11307,   11721,    1116,     280,       0,    2578,     465,       0,       0,    2493,       0,   15001,   14959,    2326,    2368,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,   65.3,   67.6,    6.4,    1.6,    0.0,   14.9,    2.7,    0.0,    0.0,   14.4,    0.0,   86.6,   86.3,   13.4,   13.7,  100.0,   65.3,   67.6,    6.4,    1.6,    0.0,   14.9,    2.7,    0.0,    0.0,   14.4,    0.0,   86.6,   86.3,   13.4,   13.7,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     21,      7,      9,.,.,      0,.,.,      0,      0,.,      0,      9,     14,     21,      7,      9,.,.,      0,.,.,      0,      0,.,      0,      9,     14,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    62.6,    55.2,    85.3,    74.3,    60.2,    55.2,    80.7,    73.5,    62.6,    55.2,    85.3,    74.3,    60.2,    55.2,    80.7,    73.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BD","IFED","023 ","N13","FutOnly"
"NWP Rockies Index - ICE FUTURES ENERGY DIV",250204,2025-02-04,0233BD,IFED,01,023 ,   18126,   11226,   13240,    1736,     640,      31,     904,       0,       0,     248,    2921,       0,   14145,   16832,    3981,    1294,   18126,   11226,   13240,    1736,     640,      31,     904,       0,       0,     248,    2921,       0,   14145,   16832,    3981,    1294,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      28,    -527,       0,       0,       0,       0,     -93,       0,       0,       0,      28,       0,    -620,      28,     648,       0,  100.0,   61.9,   73.0,    9.6,    3.5,    0.2,    5.0,    0.0,    0.0,    1.4,   16.1,    0.0,   78.0,   92.9,   22.0,    7.1,  100.0,   61.9,   73.0,    9.6,    3.5,    0.2,    5.0,    0.0,    0.0,    1.4,   16.1,    0.0,   78.0,   92.9,   22.0,    7.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     21,      6,      9,.,.,.,.,      0,      0,.,.,      0,     10,     14,     21,      6,      9,.,.,.,.,      0,      0,.,.,      0,     10,     14,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    62.4,    60.5,    76.5,    81.0,    58.4,    60.5,    70.6,    79.1,    62.4,    60.5,    76.5,    81.0,    58.4,    60.5,    70.6,    79.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BD","IFED","023 ","N13","FutOnly"
"NWP Rockies Index - ICE FUTURES ENERGY DIV",250128,2025-01-28,0233BD,IFED,01,023 ,   18098,   11753,   13240,    1736,     640,      31,     997,       0,       0,     248,    2893,       0,   14765,   16804,    3333,    1294,   18098,   11753,   13240,    1736,     640,      31,     997,       0,       0,     248,    2893,       0,   14765,   16804,    3333,    1294,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,   64.9,   73.2,    9.6,    3.5,    0.2,    5.5,    0.0,    0.0,    1.4,   16.0,    0.0,   81.6,   92.8,   18.4,    7.1,  100.0,   64.9,   73.2,    9.6,    3.5,    0.2,    5.5,    0.0,    0.0,    1.4,   16.0,    0.0,   81.6,   92.8,   18.4,    7.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     21,      6,      9,.,.,.,.,      0,      0,.,.,      0,     10,     14,     21,      6,      9,.,.,.,.,      0,      0,.,.,      0,     10,     14,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    65.4,    60.6,    80.0,    81.1,    61.4,    60.6,    74.1,    79.2,    65.4,    60.6,    80.0,    81.1,    61.4,    60.6,    74.1,    79.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BD","IFED","023 ","N13","FutOnly"
"MALIN (BASIS) - ICE FUTURES ENERGY DIV",250311,2025-03-11,0233BH,IFED,01,023 ,  126950,  102641,  117392,   16422,    1824,     545,       0,       0,       0,     334,       0,      90,  120032,  119851,    6918,    7099,  126950,  102641,  117392,   16422,    1824,     545,       0,       0,       0,     334,       0,      90,  120032,  119851,    6918,    7099,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -3300,   -4624,   -2402,     707,     -93,     -98,       0,       0,       0,     -45,       0,    -169,   -4229,   -2762,     929,    -538,  100.0,   80.9,   92.5,   12.9,    1.4,    0.4,    0.0,    0.0,    0.0,    0.3,    0.0,    0.1,   94.6,   94.4,    5.4,    5.6,  100.0,   80.9,   92.5,   12.9,    1.4,    0.4,    0.0,    0.0,    0.0,    0.3,    0.0,    0.1,   94.6,   94.4,    5.4,    5.6,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      8,     12,.,.,.,      0,      0,      0,.,      0,.,     12,     16,     20,      8,     12,.,.,.,      0,      0,      0,.,      0,.,     12,     16,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    85.4,    69.8,    92.7,    87.4,    80.0,    69.0,    84.5,    82.0,    85.4,    69.8,    92.7,    87.4,    80.0,    69.0,    84.5,    82.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233BH","IFED","023 ","N13","FutOnly"
